book_identity_id,inventory_id,local_file_location,format,file_size_mb,page_count,text_quality,canonical_copy,file_status,notes
book-id-001,book-051,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Learning the Classic Guitar_ Part 1 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",PDF,29.0,162,scanned / OCR needed,Yes,Canonical,Add to OCR priority review
book-id-002,book-052,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Presents_ Aaron Shearer_ Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",PDF,33.7,218,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-003,book-050,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.) - libgen.li.pdf",PDF,21.9,87,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-004,book-001,/Users/alessandralove/Downloads/Guitar Resources/ Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf,PDF,17.8,220,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-005,book-002,"/Users/alessandralove/Downloads/Guitar Resources/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",PDF,5.4,526,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
book-id-005,book-070,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",PDF,5.4,526,text-based / extraction likely good,Yes,Canonical,Use this copy as the working source
book-id-006,book-003,/Users/alessandralove/Downloads/Guitar Resources/ Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf,PDF,1.2,52,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-007,book-053,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Bill Edwards - Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing) - libgen.li.pdf",PDF,15.4,287,scanned / OCR needed,Yes,Canonical,Add to OCR priority review
book-id-008,book-039,"/Users/alessandralove/Downloads/Guitar Resources/[Artistpro] Bobby Owsinski - The Recording Engineer's Handbook (2009, Course Technology Cengage Learning) - libgen.li.pdf",PDF,30.4,423,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-009,book-004,"/Users/alessandralove/Downloads/Guitar Resources/ Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf",PDF,2.5,32,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-010,book-005,"/Users/alessandralove/Downloads/Guitar Resources/ Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf",PDF,4.6,36,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-011,book-006,/Users/alessandralove/Downloads/Guitar Resources/ C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf,PDF,5.9,66,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-012,book-054,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Charles Kim - Teach Yourself VISUALLY Guitar (2006, Visual) - libgen.li.pdf",PDF,18.2,305,text-based / extraction likely good,Yes,Canonical,Already intake-triaged; follow priority queue
book-id-013,book-007,"/Users/alessandralove/Downloads/Guitar Resources/ Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf",PDF,11.3,465,text-based / extraction likely good,Yes,Canonical,Intake triage needed
book-id-014,book-008,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf",PDF,31.6,113,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-015,book-009,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf",PDF,36.6,137,scanned / OCR needed,Yes,Canonical,OCR only after active sources are mapped
book-id-016,book-010,"/Users/alessandralove/Downloads/Guitar Resources/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf",PDF,2.5,337,text-based / extraction likely good,No,Duplicate / Archive,Archive this duplicate path in catalogue only
