File Name,Rough Title From Filename,Format,Size MB,Folder Status,Logged In Blueprint Batch,Duplicate Filename,Local File,Next Action
 Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf, Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991),pdf,17.8,Unsorted,No,No,/Users/alessandralove/Downloads/Guitar Resources/ Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf,Needs intake triage
" Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf"," Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA)",pdf,5.4,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",Needs intake triage
 Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf, Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990),pdf,1.2,Unsorted,No,No,/Users/alessandralove/Downloads/Guitar Resources/ Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf,Needs intake triage
" Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf"," Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.)",pdf,2.5,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf",Needs intake triage
" Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf"," Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing)",pdf,4.6,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf",Needs intake triage
 C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf, C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar,pdf,5.9,Unsorted,No,No,/Users/alessandralove/Downloads/Guitar Resources/ C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf,Needs intake triage
" Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf"," Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology)",pdf,11.3,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf",Needs intake triage
" Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf"," Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997)",pdf,31.6,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf",Needs intake triage
" Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf"," Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998)",pdf,36.6,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf",Needs intake triage
" Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf"," Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",pdf,2.5,Unsorted,No,No,"/Users/alessandralove/Downloads/Guitar Resources/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf",Needs intake triage
